Country,Latitude,Longitude,Confirmed,Deaths
Spain,35.8894,-5.3213,7570,128
Spain,39.4937,-6.0679,102763,1993
Spain,42.5751,-8.1339,186863,2639
Spain,42.2871,-2.5396,39542,823
Spain,40.4168,-3.7038,893471,16145
Spain,35.2923,-2.9381,11038,108
Spain,37.9922,-1.1307,141310,1739
Spain,42.6954,-1.6761,82742,1248
Spain,42.9896,-2.6189,261353,4969
Spain,,,0,0
Sri Lanka,7.873054,80.77179699999998,527064,13354
Sudan,12.8628,30.2176,38827,2953
Summer Olympics 2020,35.6491,139.7737,865,0
Suriname,3.9193,-56.0278,44306,968
Sweden,56.2784,15.018,13419,130
Sweden,61.0917,14.6664,28551,354
Sweden,61.3012,16.1534,37177,561
Sweden,57.4684,18.4867,4568,54
Sweden,56.8967,12.8034,43108,328
Sweden,63.1712,14.9592,13144,128
Sweden,57.3708,14.3439,45480,561
Sweden,57.235,16.1849,25378,249
Sweden,56.7183,14.4115,23478,324
Sweden,66.8309,20.3992,27612,287
Sweden,59.535,15.0066,34064,351
Sweden,58.3454,15.5198,44527,656
Sweden,55.9903,13.5958,164933,1782
Sweden,59.0336,16.7519,27184,482
Sweden,59.6025,18.1384,275975,4433
Sweden,60.0092,17.2715,42427,547
Sweden,59.7294,13.2354,21469,223
Sweden,65.3337,16.5162,25751,193
Sweden,63.4276,17.7292,27546,481
Sweden,59.6714,16.2159,29788,359
Sweden,58.2528,13.0596,202243,2422
Switzerland,46.8182,8.2275,850684,11133
Syria,34.802075,38.99681500000001,37229,2348
Taiwan*,23.7,121.0,16305,846
Tajikistan,38.861,71.2761,17484,125
Tanzania,-6.369028,34.888822,25957,723
Thailand,15.870032,100.992541,1720919,17751
Timor-Leste,-8.874217,125.727539,19675,119
